
2022-09-17 11:13:39,757	INFO	该空间当前状态不可预约
2022-09-17 11:33:33,836	INFO	该空间当前状态不可预约
2022-09-17 11:33:34,280	ERROR	该空间当前状态不可预约
2022-09-17 13:19:01,618	INFO	该空间当前状态不可预约
2022-09-17 13:19:02,077	ERROR	该空间当前状态不可预约
2022-09-17 16:07:27,043	INFO	该空间当前状态不可预约
2022-09-17 16:07:27,313	ERROR	该空间当前状态不可预约
2022-09-17 16:10:32,432	INFO	该空间当前状态不可预约
2022-09-17 16:10:32,704	ERROR	该空间当前状态不可预约
2022-09-18 06:00:02,303	ERROR	can only concatenate str (not "int") to str
2022-09-18 08:00:09,827	INFO	预约成功
2022-09-18 08:04:18,774	INFO	预约成功
2022-09-18 22:00:08,871	INFO	预约成功
2022-09-19 06:00:01,465	INFO	预约成功
2022-09-20 05:59:37,774	INFO	预约成功
2022-09-21 05:59:45,075	INFO	预约成功
2022-09-22 05:59:56,621	INFO	预约成功
